industry,years,total_laid_off,Ranking
Food,2020,2770,1
Finance,2020,2631,2
Transportation,2020,2490,3
Travel,2020,1900,4
Fitness,2020,920,5
Retail,2020,850,6
Marketing,2020,411,7
"Real Estate",2020,350,8
Logistics,2020,340,9
Consumer,2020,270,10
Consumer,2021,1800,1
Education,2021,1800,1
Transportation,2021,200,2
Food,2021,200,2
HR,2021,80,3
Education,2022,6619,1
Retail,2022,2024,2
Transportation,2022,1840,3
Healthcare,2022,756,4
Travel,2022,600,5
Food,2022,580,6
Finance,2022,575,7
Logistics,2022,250,8
Consumer,2022,240,9
Recruiting,2022,200,10
Education,2023,1740,1
Food,2023,615,2
Consumer,2023,540,3
Other,2023,500,4
Support,2023,257,5
Transportation,2023,240,6
Healthcare,2023,200,7
crypto,2023,180,8
Retail,2023,125,9
Finance,2023,100,10
