company,years,total_laid_off,Ranking
Swiggy,2020,2250,1
PaisaBazaar,2020,1500,2
Ola,2020,1400,3
Curefit,2020,920,4
MakeMyTrip,2020,700,5
Bytedance,2021,1800,1
"WhiteHat Jr",2021,1800,1
Bounce,2021,200,2
Ninjacart,2021,200,2
Pagarbook,2021,80,3
Byju's,2022,2500,1
Unacademy,2022,1500,2
Ola,2022,1200,3
Vedantu,2022,1109,4
Cars24,2022,600,5
MFine,2022,600,5
OYO,2022,600,5
Byju's,2023,1500,1
ShareChat,2023,500,2
Swiggy,2023,380,3
"SAP Labs",2023,300,4
MediBuddy,2023,200,5
MyGate,2023,200,5
Ola,2023,200,5
